A2BBX6,tau,tau_prob,tau_pred,t,t_pred,A,B1,B2,X,rA,rB1,rB2,rX,nA,nB1,nB2,nX,icsd_label
Sr2CrWO6,3.703844055136183,0.7430780248540164,1,0.9562777421760928,1,Sr,Cr,W,O,1.44,0.8,0.6,1.4,2,2,6,-2,1.0
Sr2InSbO6,3.703844055136183,0.7430780248540164,1,0.9562777421760928,1,Sr,In,Sb,O,1.44,0.8,0.6,1.4,2,3,5,-2,1.0
Sr2NbZrO6,3.703844055136183,0.7430780248540164,1,0.9562777421760928,1,Sr,Nb,Zr,O,1.44,0.68,0.72,1.4,2,4,4,-2,1.0
Sr2BiFeO6,3.704658308880334,0.7427787184841211,1,0.9551406699499618,1,Sr,Bi,Fe,O,1.44,0.76,0.645,1.4,2,5,3,-2,1.0
Sr2CrReO6,3.705256841688193,0.7425585466591235,1,0.9677991607565276,1,Sr,Cr,Re,O,1.44,0.8,0.55,1.4,2,2,6,-2,1.0
Sr2SbScO6,3.706355963046812,0.7421538770600337,1,0.9689665903834956,1,Sr,Sb,Sc,O,1.44,0.6,0.745,1.4,2,5,3,-2,1.0
Sr2CoWO6,3.706355963046812,0.7421538770600337,1,0.9689665903834956,1,Sr,Co,W,O,1.44,0.745,0.6,1.4,2,2,6,-2,1.0
Pb2MgReO6,3.706985132980959,0.7419220252873497,1,1.0041958710708216,1,Pb,Mg,Re,O,1.49,0.72,0.55,1.4,2,2,6,-2,1.0
Ba2DyUO6,3.707224081185826,0.7418339324316151,1,0.9253875701615252,1,Ba,Dy,U,O,1.61,1.07,0.73,1.4,2,2,6,-2,1.0
Sr2WZnO6,3.707629980015408,0.7416842402660083,1,0.9701368398887896,1,Sr,W,Zn,O,1.44,0.6,0.74,1.4,2,6,2,-2,1.0
Sr2MnMoO6,3.708143114437532,0.74149491087798,1,0.9517456201752582,1,Sr,Mn,Mo,O,1.44,0.83,0.59,1.4,2,2,6,-2,1.0
Sr2NiUO6,3.708143114437532,0.74149491087798,1,0.9517456201752582,1,Sr,Ni,U,O,1.44,0.69,0.73,1.4,2,2,6,-2,1.0
Sr2CoMoO6,3.709079159487744,0.7411492839718191,1,0.9713099195017146,1,Sr,Co,Mo,O,1.44,0.745,0.59,1.4,2,2,6,-2,1.0
Sr2MoPbO6,3.709652328893081,0.740937481637275,1,0.9506192939975359,1,Sr,Mo,Pb,O,1.44,0.65,0.775,1.4,2,4,4,-2,1.0
Sr2LuRuO6,3.7099750472272097,0.7408181731860282,1,0.9503943485895858,1,Sr,Lu,Ru,O,1.44,0.861,0.565,1.4,2,3,5,-2,1.0
Sr2CuWO6,3.7107037936545963,0.7405486113853034,1,0.9724858395011112,1,Sr,Cu,W,O,1.44,0.73,0.6,1.4,2,2,6,-2,1.0
Sr2MoZnO6,3.7107037936545963,0.7405486113853034,1,0.9724858395011112,1,Sr,Mo,Zn,O,1.44,0.59,0.74,1.4,2,6,2,-2,1.0
Sr2MnWO6,3.7113355432182034,0.7403147654667829,1,0.949495630529454,1,Sr,Mn,W,O,1.44,0.83,0.6,1.4,2,2,6,-2,1.0
Sr2IrLuO6,3.711693079096945,0.7401823543194328,1,0.949271216530274,1,Sr,Ir,Lu,O,1.44,0.57,0.861,1.4,2,5,3,-2,1.0
Sr2RuYbO6,3.712429054366919,0.7399096379582731,1,0.9488227066240468,1,Sr,Ru,Yb,O,1.44,0.565,0.868,1.4,2,5,3,-2,1.0
Sr2TiZrO6,3.712504200127973,0.7398817810689806,1,0.973664610215658,1,Sr,Ti,Zr,O,1.44,0.605,0.72,1.4,2,4,4,-2,1.0
Sr2ReScO6,3.712504200127973,0.7398817810689806,1,0.973664610215658,1,Sr,Re,Sc,O,1.44,0.58,0.745,1.4,2,5,3,-2,1.0
Sr2IrYbO6,3.7143909969145694,0.7391816352552106,1,0.9477032838932492,1,Sr,Ir,Yb,O,1.44,0.57,0.868,1.4,2,5,3,-2,1.0
Sr2MgWO6,3.714480722074808,0.7391483067780658,1,0.9748462420241724,1,Sr,Mg,W,O,1.44,0.72,0.6,1.4,2,2,6,-2,1.0
Sr2IrTaO6,3.714480722074808,0.7391483067780658,1,0.9748462420241722,1,Sr,Ir,Ta,O,1.44,0.68,0.64,1.4,2,3,5,-2,1.0
Sr2IrNbO6,3.714480722074808,0.7391483067780658,1,0.9748462420241722,1,Sr,Ir,Nb,O,1.44,0.68,0.64,1.4,2,3,5,-2,1.0
Sr2CuMoO6,3.714480722074808,0.7391483067780658,1,0.9748462420241724,1,Sr,Cu,Mo,O,1.44,0.73,0.59,1.4,2,2,6,-2,1.0
Sr2InNbO6,3.7152246080002977,0.7388718724266776,1,0.947256254042356,1,Sr,In,Nb,O,1.44,0.8,0.64,1.4,2,3,5,-2,1.0
Sr2InTaO6,3.7152246080002977,0.7388718724266776,1,0.947256254042356,1,Sr,In,Ta,O,1.44,0.8,0.64,1.4,2,3,5,-2,1.0
Sr2HfTiO6,3.716633728360213,0.7383476572972851,1,0.9760307453559148,1,Sr,Hf,Ti,O,1.44,0.71,0.605,1.4,2,4,4,-2,1.0
Sr2IrScO6,3.716633728360213,0.7383476572972851,1,0.9760307453559148,1,Sr,Ir,Sc,O,1.44,0.57,0.745,1.4,2,5,3,-2,1.0
Ba2CrTaO6,3.7169369579709457,0.7382347528817338,1,1.0562736532861083,1,Ba,Cr,Ta,O,1.61,0.55,0.68,1.4,2,4,4,-2,-1.0
Pb2GaNbO6,3.7172211772896064,0.7381288951910357,1,1.0066692599158238,1,Pb,Ga,Nb,O,1.49,0.62,0.64,1.4,2,3,5,-2,1.0
Sr2RuTmO6,3.717430838279367,0.7380507872334421,1,0.9461405222943676,1,Sr,Ru,Tm,O,1.44,0.565,0.88,1.4,2,5,3,-2,1.0
Sr2MgMoO6,3.718963613700422,0.737479256279205,1,0.9772181306908978,1,Sr,Mg,Mo,O,1.44,0.72,0.59,1.4,2,2,6,-2,1.0
Sr2MgUO6,3.7198118281716734,0.7371625984467299,1,0.9450274157975505,1,Sr,Mg,U,O,1.44,0.72,0.73,1.4,2,2,6,-2,1.0
Sr2IrTmO6,3.7198118281716734,0.7371625984467299,1,0.9450274157975505,1,Sr,Ir,Tm,O,1.44,0.57,0.88,1.4,2,5,3,-2,1.0
Sr2MoTiO6,3.7198118281716734,0.7371625984467299,1,0.9450274157975505,1,Sr,Mo,Ti,O,1.44,0.59,0.86,1.4,2,6,2,-2,1.0
Sr2CoTeO6,3.7214707988255173,0.7365424820871371,1,0.9784084085601924,1,Sr,Co,Te,O,1.44,0.745,0.56,1.4,2,2,6,-2,1.0
Sr2NbRhO6,3.7214707988255173,0.7365424820871371,1,0.9784084085601924,1,Sr,Nb,Rh,O,1.44,0.64,0.665,1.4,2,5,3,-2,1.0
Sr2RhTaO6,3.7214707988255173,0.7365424820871371,1,0.9784084085601924,1,Sr,Rh,Ta,O,1.44,0.665,0.64,1.4,2,3,5,-2,1.0
Ba2MoSmO6,3.7234792796185183,0.7357903318762656,1,0.9233802218531488,1,Ba,Mo,Sm,O,1.61,0.59,1.22,1.4,2,6,2,-2,1.0
